Provinsi;HIV/AIDS
Sulawesi Barat;25
Gorontalo;215
Kalimantan Tengah;272
Kalimantan Selatan;405
Bengkulu;415
Aceh;497
Kepulauan Bangka Belitung;503
Kalimantan Utara;539
Sulawesi Tenggara;561
Maluku Utara;637
Maluku;729
Jambi;739
Sulawesi Tengah;763
Nusa Tenggara Barat;813
Lampung;892
Sumatera Selatan;1115
DI Yogyakarta;1459
Kalimantan Timur;1572
Kepulauan Riau;1573
Papua Barat;1741
Sulawesi Utara;1799
Sumatera Barat;1958
Nusa Tenggara Timur;2059
Riau;2470
Kalimantan Barat;2695
Banten;2989
Sulawesi Selatan;3416
Sumatera Utara;4065
Jawa Barat;6749
Bali;7990
DKI Jakarta;9932
Jawa Tengah;10111
Jawa Timur;19829
Papua;22538
Indonesia;114065
